Estimulo;C2;C3;C4
1;20656328.551077,372409958.551105,26.382741,127.047166,20656331.228481,372409989.53892,26.382742,127.047176;19386221.992841,391093813.765049,24.688635,124.958393,19386222.489431,391093821.690741,24.688635,124.958395;32629172.125321,747720690.482505,26.14949,176.972029,32629172.548567,747720698.402738,26.14949,176.972031
0;20656331.841704,372410004.005693,26.382743,127.047179,20656331.841704,372410004.005693,26.382743,127.047179;19386222.619502,391093825.536489,24.688636,124.958396,19386222.619502,391093825.536489,24.688636,124.958396;32629172.633479,747720702.043943,26.14949,176.972032,32629172.633479,747720702.043943,26.14949,176.972032
1;20656332.553617,372410041.795075,26.382745,127.04719,20656332.967626,372410092.471653,26.382745,127.047199;19386222.727303,391093839.119432,24.688636,124.9584,19386223.183823,391093857.200171,24.688636,124.958403;32629172.789403,747720714.532734,26.14949,176.972034,32629173.241366,747720731.055526,26.14949,176.972036
2;20656333.588108,372410103.350345,26.382746,127.047202,20656335.029894,372410139.464031,26.382746,127.047209;19386223.228121,391093859.809387,24.688637,124.958404,19386223.695089,391093874.906772,24.688637,124.958406;32629173.282927,747720733.72333,26.149491,176.972037,32629173.836132,747720744.013215,26.149491,176.972038
0;20656335.969559,372410190.842937,26.382748,127.04722,20656335.969559,372410190.842937,26.382748,127.04722;19386224.29865,391093891.401022,24.688637,124.95841,19386224.29865,391093891.401022,24.688637,124.95841;32629174.355999,747720760.008964,26.149491,176.972041,32629174.355999,747720760.008964,26.149491,176.972041
1;20656336.511921,372410205.050881,26.382749,127.047226,20656337.464895,372410228.913246,26.38275,127.047232;19386224.582133,391093895.611417,24.688638,124.958412,19386225.047348,391093906.321109,24.688638,124.958414;32629174.593766,747720764.521956,26.149491,176.972042,32629175.021998,747720773.02388,26.149491,176.972044
2;20656337.604513,372410250.591551,26.382751,127.047238,20656338.206708,372410280.066935,26.382751,127.047243;19386225.06702,391093911.729705,24.688638,124.958416,19386225.557947,391093933.824574,24.688638,124.958419;32629175.051476,747720779.350538,26.149491,176.972045,32629175.611317,747720796.505306,26.149491,176.972047
1;20656338.338192,372410291.806884,26.382752,127.047247,20656342.005995,372410327.741503,26.382753,127.047256;19386225.700428,391093939.107853,24.688639,124.95842,19386227.658139,391093951.128333,24.688639,124.958423;32629175.721622,747720801.042774,26.149491,176.972048,32629176.921817,747720812.652926,26.149492,176.972049
0;20656342.452781,372410361.725326,26.382755,127.047267,20656342.452781,372410361.725326,26.382755,127.047267;19386227.841037,391093970.164673,24.68864,124.958428,19386227.841037,391093970.164673,24.68864,124.958428;32629177.559963,747720828.494654,26.149492,176.972052,32629177.559963,747720828.494654,26.149492,176.972052
0;20656345.204714,372410483.794218,26.38276,127.047298,20656345.204714,372410483.794218,26.38276,127.047298;19386229.94722,391094026.138272,24.688642,124.958441,19386229.94722,391094026.138272,24.688642,124.958441;32629179.541016,747720883.775302,26.149493,176.972061,32629179.541016,747720883.775302,26.149493,176.972061
2;20656345.938632,372410522.247867,26.382761,127.047308,20656346.645106,372410534.988109,26.382762,127.047311;19386230.578065,391094041.911868,24.688642,124.958444,19386231.048933,391094047.465132,24.688642,124.958446;32629180.104447,747720898.099216,26.149493,176.972064,32629180.568027,747720902.976336,26.149493,176.972064
2;20656347.361382,372410586.574347,26.382763,127.047324,20656349.090385,372410618.583389,26.382764,127.04733;19386231.527652,391094069.249095,24.688643,124.958451,19386231.795193,391094078.038413,24.688643,124.958453;32629181.007675,747720924.91597,26.149493,176.972068,32629181.336098,747720933.120549,26.149493,176.97207
0;20656349.569849,372410628.050975,26.382764,127.047333,20656349.569849,372410628.050975,26.382764,127.047333;19386232.051564,391094087.794796,24.688643,124.958455,19386232.051564,391094087.794796,24.688643,124.958455;32629181.514727,747720940.066625,26.149493,176.972071,32629181.514727,747720940.066625,26.149493,176.972071
1;20656349.603301,372410636.387036,26.382765,127.047335,20656350.42344,372410667.127659,26.382765,127.047342;19386232.156974,391094090.865858,24.688644,124.958456,19386233.121553,391094105.875287,24.688644,124.958459;32629181.660525,747720943.707242,26.149493,176.972071,32629182.49622,747720957.592311,26.149494,176.972073
1;20656350.566388,372410683.35781,26.382766,127.047345,20656351.877687,372410762.022718,26.382767,127.04736;19386233.306929,391094112.199814,24.688644,124.95846,19386234.658216,391094138.15344,24.688644,124.958464;32629182.702881,747720963.583391,26.149494,176.972074,32629183.679076,747720987.150305,26.149494,176.972077
2;20656351.937165,372410771.848093,26.382767,127.047362,20656352.149824,372410784.211032,26.382768,127.047365;19386234.801023,391094141.227106,24.688645,124.958465,19386235.011349,391094146.027696,24.688645,124.958467;32629183.776086,747720990.470349,26.149494,176.972078,32629183.981465,747720994.95605,26.149494,176.972079
0;20656352.454005,372410816.095049,26.382769,127.047373,20656352.454005,372410816.095049,26.382769,127.047373;19386235.548149,391094159.754766,24.688645,124.95847,19386235.548149,391094159.754766,24.688645,124.95847;32629184.404806,747721007.355581,26.149494,176.972081,32629184.404806,747721007.355581,26.149494,176.972081
1;20656352.684228,372410832.40341,26.38277,127.047377,20656352.96675,372410847.36436,26.382771,127.047382;19386235.651263,391094164.700294,24.688646,124.958471,19386235.979582,391094172.130876,24.688646,124.958473;32629184.480171,747721012.168597,26.149494,176.972082,32629184.72595,747721018.866166,26.149494,176.972083
2;20656353.781107,372410861.825887,26.382772,127.047386,20656353.913166,372410885.956637,26.382772,127.04739;19386237.083953,391094179.585707,24.688646,124.958475,19386237.251365,391094189.400054,24.688646,124.958477;32629185.750485,747721026.527463,26.149495,176.972084,32629185.895039,747721037.057061,26.149495,176.972086
0;20656355.568162,372410959.149252,26.382775,127.047409,20656355.568162,372410959.149252,26.382775,127.047409;19386238.79212,391094233.949408,24.688647,124.958486,19386238.79212,391094233.949408,24.688647,124.958486;32629187.070683,747721077.93703,26.149495,176.972092,32629187.070683,747721077.93703,26.149495,176.972092
2;20656357.605504,372411039.188289,26.382777,127.047429,20656357.63421,372411049.31887,26.382778,127.047431;19386240.034763,391094279.256063,24.688648,124.958495,19386240.071179,391094284.371712,24.688649,124.958496;32629188.417182,747721119.431568,26.149495,176.972098,32629188.433893,747721124.699125,26.149496,176.972099
0;20656358.682608,372411077.642193,26.382778,127.047436,20656358.682608,372411077.642193,26.382778,127.047436;19386241.376466,391094301.308921,24.688649,124.958499,19386241.376466,391094301.308921,24.688649,124.958499;32629189.414156,747721140.513837,26.149496,176.972101,32629189.414156,747721140.513837,26.149496,176.972101
2;20656361.843114,372411160.754767,26.382781,127.04746,20656361.917742,372411171.177306,26.382782,127.047463;19386243.146466,391094332.842218,24.68865,124.958508,19386243.228862,391094337.162028,24.68865,124.958509;32629190.97798,747721172.176715,26.149496,176.972107,32629191.020851,747721175.646057,26.149496,176.972108
0;20656362.422951,372411177.318537,26.382782,127.047464,20656362.422951,372411177.318537,26.382782,127.047464;19386243.591996,391094342.730881,24.68865,124.95851,19386243.591996,391094342.730881,24.68865,124.95851;32629191.238991,747721180.261713,26.149496,176.972108,32629191.238991,747721180.261713,26.149496,176.972108
2;20656362.481547,372411198.745953,26.382783,127.047469,20656363.70759,372411219.729882,26.382783,127.047474;19386243.661457,391094352.562305,24.688651,124.958512,19386244.609052,391094362.859485,24.688651,124.958514;32629191.292686,747721189.568452,26.149496,176.97211,32629192.363303,747721199.059828,26.149497,176.972111
0;20656366.637709,372411277.763003,26.382786,127.047489,20656366.637709,372411277.763003,26.382786,127.047489;19386246.946187,391094395.778094,24.688652,124.958521,19386246.946187,391094395.778094,24.688652,124.958521;32629194.842015,747721230.203312,26.149497,176.972116,32629194.842015,747721230.203312,26.149497,176.972116
1;20656367.34334,372411314.537284,26.382787,127.047498,20656368.965874,372411333.889062,26.382788,127.047505;19386247.442455,391094418.07838,24.688652,124.958526,19386248.86916,391094428.945567,24.688653,124.958529;32629195.324534,747721249.222499,26.149497,176.972119,32629196.744036,747721260.455081,26.149497,176.972121
0;20656371.234567,372411369.697355,26.382789,127.047515,20656371.234567,372411369.697355,26.382789,127.047515;19386250.593074,391094459.313098,24.688653,124.958535,19386250.593074,391094459.313098,24.688653,124.958535;32629198.767609,747721291.167728,26.149498,176.972126,32629198.767609,747721291.167728,26.149498,176.972126
2;20656371.938002,372411396.558533,26.382791,127.047522,20656372.153413,372411411.575399,26.382791,127.047525;19386251.264959,391094469.480967,24.688654,124.958538,19386251.428364,391094480.412521,24.688654,124.95854;32629199.579816,747721302.737667,26.149498,176.972128,32629199.692589,747721309.025942,26.149498,176.972129
2;20656372.449939,372411422.929158,26.382791,127.047527,20656374.155147,372411451.900712,26.382792,127.047534;19386251.475801,391094488.582572,24.688654,124.958541,19386252.614754,391094500.767427,24.688654,124.958544;32629199.720009,747721316.832932,26.149498,176.97213,32629200.690347,747721328.907065,26.149498,176.972132
1;20656375.059527,372411465.148326,26.382793,127.047537,20656376.605983,372411484.867219,26.382794,127.047544;19386253.385919,391094509.102515,24.688655,124.958546,19386254.048649,391094516.022729,24.688655,124.958548;32629201.391529,747721335.54917,26.149498,176.972133,32629201.963125,747721341.607761,26.149498,176.972135
0;20656377.527484,372411504.878896,26.382795,127.04755,20656377.527484,372411504.878896,26.382795,127.04755;19386254.783507,391094526.553617,24.688656,124.958551,19386254.783507,391094526.553617,24.688656,124.958551;32629202.764355,747721351.831683,26.149499,176.972137,32629202.764355,747721351.831683,26.149499,176.972137
1;20656377.696795,372411519.96774,26.382796,127.047554,20656378.550134,372411564.294987,26.382798,127.047565;19386254.910003,391094530.193706,24.688656,124.958552,19386254.999636,391094540.334888,24.688657,124.958555;32629202.972857,747721355.684104,26.149499,176.972138,32629203.095658,747721367.354962,26.149499,176.97214
1;20656378.678618,372411579.180462,26.382798,127.047569,20656379.430688,372411612.513186,26.3828,127.047577;19386255.095007,391094545.960868,24.688657,124.958557,19386255.520689,391094559.937312,24.688658,124.95856;32629203.191476,747721373.28793,26.149499,176.972141,32629203.630865,747721386.958841,26.149499,176.972143
2;20656380.842561,372411658.487188,26.382801,127.047588,20656382.535404,372411668.783232,26.382802,127.047591;19386256.441762,391094581.977081,24.688658,124.958565,19386257.892402,391094588.539336,24.688658,124.958566;32629204.43291,747721408.155518,26.1495,176.972146,32629205.499125,747721413.846301,26.1495,176.972147
0;20656383.088252,372411678.556608,26.382802,127.047595,20656383.088252,372411678.556608,26.382802,127.047595;19386258.307831,391094599.210355,24.688659,124.958569,19386258.307831,391094599.210355,24.688659,124.958569;32629205.703108,747721422.121622,26.1495,176.972149,32629205.703108,747721422.121622,26.1495,176.972149
2;20656384.191541,372411760.38188,26.382806,127.047617,20656384.491662,372411770.977054,26.382807,127.047621;19386258.730192,391094638.748345,24.68866,124.958579,19386258.925747,391094644.595048,24.688661,124.95858;32629210.672653,747721521.478099,26.149502,176.972169,32629210.797841,747721528.004814,26.149502,176.97217
0;20656385.636022,372411785.869176,26.382807,127.047624,20656385.636022,372411785.869176,26.382807,127.047624;19386259.523017,391094654.21606,24.688661,124.958582,19386259.523017,391094654.21606,24.688661,124.958582;32629211.600205,747721535.347265,26.149502,176.972171,32629211.600205,747721535.347265,26.149502,176.972171
