Estimulo;C1;C2;C3;C4;C5
1;20065282.390612,465876672.063971,25.055107,137.08273,20065286.456983,465876715.218168,25.055111,137.082744;20656328.551077,372409958.551105,26.382741,127.047166,20656331.228481,372409989.53892,26.382742,127.047176;19386221.992841,391093813.765049,24.688635,124.958393,19386222.489431,391093821.690741,24.688635,124.958395;32629172.125321,747720690.482505,26.14949,176.972029,32629172.548567,747720698.402738,26.14949,176.972031;15349348.634858,324792245.625919,24.56283,113.261366,15349359.113086,324792333.280471,24.562832,113.261386
0;20065289.897882,465876734.669551,25.055111,137.082748,20065289.897882,465876734.669551,25.055111,137.082748;20656331.841704,372410004.005693,26.382743,127.047179,20656331.841704,372410004.005693,26.382743,127.047179;19386222.619502,391093825.536489,24.688636,124.958396,19386222.619502,391093825.536489,24.688636,124.958396;32629172.633479,747720702.043943,26.14949,176.972032,32629172.633479,747720702.043943,26.14949,176.972032;15349359.796236,324792344.816398,24.562833,113.26139,15349359.796236,324792344.816398,24.562833,113.26139
2;20065289.945233,465876744.981235,25.055112,137.082752,20065290.139974,465876755.912633,25.055112,137.082755;20656331.969406,372410013.699759,26.382744,127.047183,20656332.3008,372410024.290816,26.382744,127.047186;19386222.659361,391093828.375179,24.688636,124.958397,19386222.674344,391093832.876839,24.688636,124.958399;32629172.699094,747720704.735196,26.14949,176.972032,32629172.710891,747720708.922133,26.14949,176.972033;15349359.893431,324792357.901869,24.562834,113.261395,15349360.082158,324792369.376717,24.562835,113.261399
1;20065290.316943,465876772.457784,25.055113,137.082758,20065290.738718,465876810.09197,25.055114,137.082766;20656332.553617,372410041.795075,26.382745,127.04719,20656332.967626,372410092.471653,26.382745,127.047199;19386222.727303,391093839.119432,24.688636,124.9584,19386223.183823,391093857.200171,24.688636,124.958403;32629172.789403,747720714.532734,26.14949,176.972034,32629173.241366,747720731.055526,26.14949,176.972036;15349360.230979,324792392.517451,24.562836,113.261405,15349360.591083,324792451.62393,24.562838,113.261417
1;20065290.874055,465876818.85066,25.055114,137.082768,20065295.347913,465876903.501078,25.055116,137.082783;20656333.588108,372410103.350345,26.382746,127.047202,20656335.029894,372410139.464031,26.382746,127.047209;19386223.228121,391093859.809387,24.688637,124.958404,19386223.695089,391093874.906772,24.688637,124.958406;32629173.282927,747720733.72333,26.149491,176.972037,32629173.836132,747720744.013215,26.149491,176.972038;15349360.87952,324792466.328302,24.562839,113.261422,15349364.267168,324792522.565979,24.562839,113.261433
2;20065295.984654,465876930.167621,25.055116,137.082788,20065296.012786,465876946.19447,25.055117,137.082791;20656335.900191,372410155.168504,26.382747,127.047213,20656335.926483,372410168.531999,26.382747,127.047216;19386224.181003,391093883.716852,24.688637,124.958408,19386224.195069,391093887.336349,24.688637,124.958409;32629174.239951,747720751.597207,26.149491,176.972039,32629174.280355,747720755.342835,26.149491,176.97204;15349364.740624,324792539.389217,24.56284,113.261438,15349364.789708,324792555.069935,24.562841,113.261443
0;20065296.888703,465876961.713928,25.055117,137.082794,20065296.888703,465876961.713928,25.055117,137.082794;20656335.969559,372410190.842937,26.382748,127.04722,20656335.969559,372410190.842937,26.382748,127.04722;19386224.29865,391093891.401022,24.688637,124.95841,19386224.29865,391093891.401022,24.688637,124.95841;32629174.355999,747720760.008964,26.149491,176.972041,32629174.355999,747720760.008964,26.149491,176.972041;15349364.92426,324792572.678266,24.562842,113.261447,15349364.92426,324792572.678266,24.562842,113.261447
1;20065297.369214,465876973.047451,25.055118,137.0828,20065298.488692,465877000.647795,25.05512,137.082806;20656336.511921,372410205.050881,26.382749,127.047226,20656337.464895,372410228.913246,26.38275,127.047232;19386224.582133,391093895.611417,24.688638,124.958412,19386225.047348,391093906.321109,24.688638,124.958414;32629174.593766,747720764.521956,26.149491,176.972042,32629175.021998,747720773.02388,26.149491,176.972044;15349365.672353,324792591.131585,24.562845,113.261456,15349367.277042,324792615.790098,24.562847,113.261465
1;20065298.708336,465877038.524643,25.05512,137.082813,20065299.22635,465877115.59491,25.055121,137.082824;20656337.604513,372410250.591551,26.382751,127.047238,20656338.206708,372410280.066935,26.382751,127.047243;19386225.06702,391093911.729705,24.688638,124.958416,19386225.557947,391093933.824574,24.688638,124.958419;32629175.051476,747720779.350538,26.149491,176.972045,32629175.611317,747720796.505306,26.149491,176.972047;15349367.324313,324792644.641487,24.562848,113.261473,15349370.74099,324792682.310269,24.56285,113.261482
1;20065299.492612,465877127.040741,25.055121,137.082828,20065302.020167,465877161.885454,25.055123,137.082836;20656338.338192,372410291.806884,26.382752,127.047247,20656342.005995,372410327.741503,26.382753,127.047256;19386225.700428,391093939.107853,24.688639,124.95842,19386227.658139,391093951.128333,24.688639,124.958423;32629175.721622,747720801.042774,26.149491,176.972048,32629176.921817,747720812.652926,26.149492,176.972049;15349370.923557,324792697.286644,24.562851,113.261488,15349374.391125,324792738.231376,24.562853,113.261499
